city,date,temp_forecast
Warszawa,2026-01-15,-4.91
Warszawa,2026-01-16,-4.88
Warszawa,2026-01-17,-3.85
Warszawa,2026-01-18,-3.32
Warszawa,2026-01-19,-3.39
Berlin,2026-01-15,0.9
Berlin,2026-01-16,2.16
Berlin,2026-01-17,2.48
Berlin,2026-01-18,3.38
Berlin,2026-01-19,3.69
Praga,2026-01-15,1.66
Praga,2026-01-16,1.85
Praga,2026-01-17,1.97
Praga,2026-01-18,2.82
Praga,2026-01-19,2.94
Budapeszt,2026-01-15,1.46
Budapeszt,2026-01-16,1.52
Budapeszt,2026-01-17,1.69
Budapeszt,2026-01-18,2.01
Budapeszt,2026-01-19,1.88
Madryt,2026-01-07,5.03
Madryt,2026-01-08,5.7
Madryt,2026-01-09,5.64
Madryt,2026-01-10,6.01
Madryt,2026-01-11,6.68
Paryż,2026-01-07,3.11
Paryż,2026-01-08,4.4
Paryż,2026-01-09,5.16
Paryż,2026-01-10,5.33
Paryż,2026-01-11,6.53
Londyn,2026-01-14,5.76
Londyn,2026-01-15,6.84
Londyn,2026-01-16,7.06
Londyn,2026-01-17,7.25
Londyn,2026-01-18,7.77
Wiedeń,2026-01-15,2.57
Wiedeń,2026-01-16,3.23
Wiedeń,2026-01-17,2.94
Wiedeń,2026-01-18,3.6
Wiedeń,2026-01-19,3.91
Bruksela,2026-01-07,1.34
Bruksela,2026-01-08,2.99
Bruksela,2026-01-09,4.89
Bruksela,2026-01-10,5.61
Bruksela,2026-01-11,6.94
Amsterdam,2026-01-14,3.81
Amsterdam,2026-01-15,4.6
Amsterdam,2026-01-16,4.63
Amsterdam,2026-01-17,4.48
Amsterdam,2026-01-18,4.83
Lizbona,2026-01-07,11.08
Lizbona,2026-01-08,11.97
Lizbona,2026-01-09,12.4
Lizbona,2026-01-10,12.79
Lizbona,2026-01-11,13.1
Oslo,2026-01-14,-5.16
Oslo,2026-01-15,-4.4
Oslo,2026-01-16,-4.8
Oslo,2026-01-17,-4.21
Oslo,2026-01-18,-4.0
Sztokholm,2026-01-14,-4.21
Sztokholm,2026-01-15,-3.69
Sztokholm,2026-01-16,-3.05
Sztokholm,2026-01-17,-2.5
Sztokholm,2026-01-18,-2.06
Helsinki,2026-01-06,-7.55
Helsinki,2026-01-07,-5.92
Helsinki,2026-01-08,-4.55
Helsinki,2026-01-09,-3.8
Helsinki,2026-01-10,-1.99
Dublin,2026-01-14,3.92
Dublin,2026-01-15,5.21
Dublin,2026-01-16,5.7
Dublin,2026-01-17,6.07
Dublin,2026-01-18,6.34
Ateny,2026-01-15,9.69
Ateny,2026-01-16,10.58
Ateny,2026-01-17,10.42
Ateny,2026-01-18,10.25
Ateny,2026-01-19,10.01
Belgrad,2026-01-15,2.72
Belgrad,2026-01-16,2.88
Belgrad,2026-01-17,2.17
Belgrad,2026-01-18,2.69
Belgrad,2026-01-19,2.37
Sofia,2026-01-15,1.97
Sofia,2026-01-16,1.04
Sofia,2026-01-17,0.6
Sofia,2026-01-18,0.57
Sofia,2026-01-19,0.72
Tallinn,2026-01-14,-3.85
Tallinn,2026-01-15,-2.69
Tallinn,2026-01-16,-2.22
Tallinn,2026-01-17,-1.65
Tallinn,2026-01-18,-1.05
Ryga,2026-01-16,-3.81
Ryga,2026-01-17,-3.43
Ryga,2026-01-18,-2.92
Ryga,2026-01-19,-3.0
Ryga,2026-01-20,-2.9
Wilno,2026-01-16,-6.41
Wilno,2026-01-17,-6.57
Wilno,2026-01-18,-6.02
Wilno,2026-01-19,-5.88
Wilno,2026-01-20,-5.83
Luxemburg,2026-01-14,3.29
Luxemburg,2026-01-15,3.28
Luxemburg,2026-01-16,3.73
Luxemburg,2026-01-17,3.79
Luxemburg,2026-01-18,3.59
Vaduz,2026-01-14,1.83
Vaduz,2026-01-15,1.35
Vaduz,2026-01-16,1.1
Vaduz,2026-01-17,1.15
Vaduz,2026-01-18,2.05
Monako,2026-01-14,4.8
Monako,2026-01-15,5.44
Monako,2026-01-16,5.96
Monako,2026-01-17,6.48
Monako,2026-01-18,7.04
San Marino,2026-01-15,4.25
San Marino,2026-01-16,3.69
San Marino,2026-01-17,3.41
San Marino,2026-01-18,3.18
San Marino,2026-01-19,3.21
Kiszyniów,2026-01-16,-3.85
Kiszyniów,2026-01-17,-3.35
Kiszyniów,2026-01-18,-3.69
Kiszyniów,2026-01-19,-3.48
Kiszyniów,2026-01-20,-3.36
Sarajewo,2026-01-15,-1.39
Sarajewo,2026-01-16,-0.3
Sarajewo,2026-01-17,-0.41
Sarajewo,2026-01-18,0.38
Sarajewo,2026-01-19,0.77
Podgorica,2026-01-08,8.61
Podgorica,2026-01-09,8.15
Podgorica,2026-01-10,7.58
Podgorica,2026-01-11,7.47
Podgorica,2026-01-12,8.3
Skopje,2026-01-08,5.49
Skopje,2026-01-09,4.77
Skopje,2026-01-10,3.62
Skopje,2026-01-11,4.03
Skopje,2026-01-12,4.12
Mińsk,2026-01-16,-5.23
Mińsk,2026-01-17,-4.58
Mińsk,2026-01-18,-4.21
Mińsk,2026-01-19,-4.2
Mińsk,2026-01-20,-4.06
Ljubljana,2026-01-08,-1.76
Ljubljana,2026-01-09,0.25
Ljubljana,2026-01-10,0.66
Ljubljana,2026-01-11,1.63
Ljubljana,2026-01-12,2.49
Zagrzeb,2026-01-15,2.26
Zagrzeb,2026-01-16,2.73
Zagrzeb,2026-01-17,2.62
Zagrzeb,2026-01-18,2.95
Zagrzeb,2026-01-19,3.22
Kijów,2026-01-16,-7.22
Kijów,2026-01-17,-6.3
Kijów,2026-01-18,-5.94
Kijów,2026-01-19,-5.16
Kijów,2026-01-20,-5.48
Moskwa,2026-01-16,-9.54
Moskwa,2026-01-17,-8.66
Moskwa,2026-01-18,-8.02
Moskwa,2026-01-19,-7.35
Moskwa,2026-01-20,-6.81
Reykjavik,2026-01-07,-8.18
Reykjavik,2026-01-08,-9.67
Reykjavik,2026-01-09,-10.77
Reykjavik,2026-01-10,-11.15
Reykjavik,2026-01-11,-8.51
